player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Minizap-Pagle,1/10/20,22:04:44,1578729884-5,[Arcanist Leggings],16796,item:16796::::::::60,Offline or RCLootCouncil not installed,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,,,NOTHING,false,Cloth,Legs,,Magmadar
Minizap-Pagle,1/10/20,23:55:22,1578736522-19,[Arcanist Gloves],16801,item:16801::::::::60,Offline or RCLootCouncil not installed,0,MAGE,Molten Core-40 Player,Shazzrah,9,409,40,,,NOTHING,false,Cloth,Hands,,Shazzrah
Aprincess-Pagle,12/01/19,20:01:44,1575288104-23,[Robes of Prophecy],16815,item:16815::::::::60,Mainspec/Need,3,PRIEST,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cff0070dd|Hitem:10806:913:::::::60:::1::::|h[Vestments of the Atal'ai Prophet]|h|r,,1,false,Cloth,Chest,,Golemagg the Incinerator
Aprincess-Pagle,12/02/19,18:15:21,1575368121-3,[Codex: Prayer of Fortitude II],17414,item:17414::::::::60,Mainspec/Need,4,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,false,Book,,,Onyxia
Aprincess-Pagle,12/08/19,21:23:50,1575876230-5,[Pants of Prophecy],16814,item:16814::::::::60,Mainspec/Need,3,PRIEST,Molten Core-40 Player,Magmadar,9,409,40,|cff0070dd|Hitem:13206::::::::60:::1::::|h[Wolfshear Leggings]|h|r,,1,false,Cloth,Legs,,Magmadar
Aprincess-Pagle,12/08/19,22:24:53,1575879893-19,[Girdle of Prophecy],16817,item:16817::::::::60,Mainspec/Need,5,PRIEST,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:16696::::::::60:::1::::|h[Devout Belt]|h|r,,1,false,Cloth,Waist,,Axekiller-Pagle
Aprincess-Pagle,12/22/19,23:07:18,1577092038-4,[The Eye of Divinity],18646,item:18646::::::::60,Mainspec/Need,3,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:13968::::::::60:::11::::|h[Eye of the Beast]|h|r,|cff0070dd|Hitem:18469::::::::60:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,1,false,Miscellaneous,Trinket,,Majordomo Executus
Aprincess-Pagle,1/05/20,22:41:23,1578300083-0,[Mantle of Prophecy],16816,item:16816::::::::60,Mainspec (major upgrade),3,PRIEST,Molten Core-40 Player,Sulfuron Harbinger,9,409,40,|cff0070dd|Hitem:13374::::::::60:::1::::|h[Soulstealer Mantle]|h|r,,1,false,Cloth,Shoulder,,Sulfuron Harbinger
Aprincess-Pagle,1/12/20,22:25:35,1578903935-9,[Gloves of Prophecy],16812,item:16812::::::::60,Mainspec (major upgrade),3,PRIEST,Molten Core-40 Player,Gehennas,9,409,40,|cff1eff00|Hitem:9939::::::2041:1841527424:60:::1::::|h[Abjurer's Gloves of Healing]|h|r,,1,false,Cloth,Hands,,Gehennas
Aprincess-Pagle,1/12/20,23:28:02,1578907682-24,[Fire Runed Grimoire],19142,item:19142::::::::60,Teir Bonus/Completion,5,PRIEST,Molten Core-40 Player,Golemagg the Incinerator,9,409,40,|cff0070dd|Hitem:11928::::::::60:::1::::|h[Thaurissan's Royal Scepter]|h|r,,4,false,Miscellaneous,Held In Off-hand,,Golemagg the Incinerator
